categories,city,id,name,price,rating,review_count
"[{u'alias': u'tapas', u'title': u'Tapas Bars'}, {u'alias': u'spanish', u'title': u'Spanish'}]",Washington,boqueria-washington,Boqueria,$$$,4.0,681
"[{u'alias': u'ethiopian', u'title': u'Ethiopian'}]",Washington,chercher-ethiopian-restaurant-and-mart-washington,Chercher Ethiopian Restaurant & Mart,$$,4.5,88
"[{u'alias': u'peruvian', u'title': u'Peruvian'}, {u'alias': u'asianfusion', u'title': u'Asian Fusion'}]",Washington,china-chilcano-washington,China Chilcano,$$$,3.5,578
"[{u'alias': u'ethiopian', u'title': u'Ethiopian'}, {u'alias': u'vegetarian', u'title': u'Vegetarian'}]",Washington,das-ethiopian-washington,Das Ethiopian,$$,4.0,211
"[{u'alias': u'vietnamese', u'title': u'Vietnamese'}, {u'alias': u'thai', u'title': u'Thai'}, {u'alias': u'asianfusion', u'title': u'Asian Fusion'}]",Washington,doi-moi-washington,Doi Moi,$$,3.5,389
"[{u'alias': u'spanish', u'title': u'Spanish'}, {u'alias': u'tapas', u'title': u'Tapas Bars'}]",Washington,jaleo-dc-washington,Jaleo DC,$$$,3.5,1481
"[{u'alias': u'french', u'title': u'French'}, {u'alias': u'chinese', u'title': u'Chinese'}]",Washington,kyirisan-washington,Kyirisan,$$$,4.0,87
"[{u'alias': u'french', u'title': u'French'}, {u'alias': u'afghani', u'title': u'Afghan'}, {u'alias': u'cocktailbars', u'title': u'Cocktail Bars'}]",Washington,lapis-washington,Lapis,$$,4.0,127
"[{u'alias': u'cafes', u'title': u'Cafes'}, {u'alias': u'cambodian', u'title': u'Cambodian'}, {u'alias': u'taiwanese', u'title': u'Taiwanese'}]",Washington,maketto-washington-2,Maketto,$$,4.0,394
"[{u'alias': u'mediterranean', u'title': u'Mediterranean'}, {u'alias': u'turkish', u'title': u'Turkish'}]",Washington,ottoman-taverna-washington,Ottoman Taverna,$$$,4.0,98
"[{u'alias': u'mexican', u'title': u'Mexican'}, {u'alias': u'tapas', u'title': u'Tapas Bars'}]",Washington,oyamel-cocina-mexicana-washington-2,Oyamel Cocina Mexicana,$$$,3.5,1924
"[{u'alias': u'seafood', u'title': u'Seafood'}, {u'alias': u'breakfast_brunch', u'title': u'Breakfast & Brunch'}]",Washington,pearl-dive-oyster-palace-washington,Pearl Dive Oyster Palace,$$,4.0,614
"[{u'alias': u'italian', u'title': u'Italian'}]",Washington,the-red-hen-washington,The Red Hen,$$$,4.0,449
"[{u'alias': u'coffee', u'title': u'Coffee & Tea'}, {u'alias': u'latin', u'title': u'Latin American'}, {u'alias': u'cocktailbars', u'title': u'Cocktail Bars'}]",Washington,the-royal-washington-2,The Royal,$$,4.0,82
"[{u'alias': u'laotian', u'title': u'Laotian'}]",Washington,thip-khao-washington,Thip Khao,$$,4.5,461
"[{u'alias': u'pizza', u'title': u'Pizza'}, {u'alias': u'italian', u'title': u'Italian'}]",Washington,2-amys-neapolitan-pizzeria-washington,2 Amys Neapolitan Pizzeria,$$,4.0,1379
"[{u'alias': u'greek', u'title': u'Greek'}, {u'alias': u'turkish', u'title': u'Turkish'}, {u'alias': u'lebanese', u'title': u'Lebanese'}]",Washington,zaytinya-washington,Zaytinya,$$$,4.0,3309
