categories,city,id,name,price,rating,review_count
categories,city,id,name,price,rating,review_count
"[{u'alias': u'brasseries', u'title': u'Brasseries'}, {u'alias': u'french', u'title': u'French'}, {u'alias': u'cafes', u'title': u'Cafes'}]",Washington,le-diplomate-washington,Le Diplomate,$$$,4.0,1741
"[{u'alias': u'tradamerican', u'title': u'American (Traditional)'}, {u'alias': u'newamerican', u'title': u'American (New)'}]",Washington,blue-duck-tavern-washington,Blue Duck Tavern,$$$,4.0,1576
"[{u'alias': u'french', u'title': u'French'}, {u'alias': u'belgian', u'title': u'Belgian'}]",Washington,marcels-by-robert-wiedmaier-washington,Marcel's by Robert Wiedmaier,$$$$,4.5,375
"[{u'alias': u'steak', u'title': u'Steakhouses'}]",Washington,bourbon-steak-washington-3,Bourbon Steak,$$$$,4.0,530
"[{u'alias': u'bars', u'title': u'Bars'}, {u'alias': u'breakfast_brunch', u'title': u'Breakfast & Brunch'}, {u'alias': u'sandwiches', u'title': u'Sandwiches'}]",Washington,old-ebbitt-grill-washington,Old Ebbitt Grill,$$,4.0,4866
"[{u'alias': u'french', u'title': u'French'}, {u'alias': u'afghani', u'title': u'Afghan'}, {u'alias': u'cocktailbars', u'title': u'Cocktail Bars'}]",Washington,lapis-washington,Lapis,$$,4.0,126
"[{u'alias': u'tradamerican', u'title': u'American (Traditional)'}, {u'alias': u'coffee', u'title': u'Coffee & Tea'}, {u'alias': u'breakfast_brunch', u'title': u'Breakfast & Brunch'}]",Washington,founding-farmers-dc-washington,Founding Farmers DC,$$,4.0,8490
"[{u'alias': u'greek', u'title': u'Greek'}, {u'alias': u'mediterranean', u'title': u'Mediterranean'}]",Washington,cava-mezze-washington-3,Cava Mezze,$$,4.0,1078
"[{u'alias': u'gastropubs', u'title': u'Gastropubs'}, {u'alias': u'bars', u'title': u'Bars'}, {u'alias': u'newamerican', u'title': u'American (New)'}]",Washington,city-tap-house-washington,City Tap House,$$,4.0,958
"[{u'alias': u'french', u'title': u'French'}, {u'alias': u'brasseries', u'title': u'Brasseries'}]",Washington,bistro-cacao-washington-2,Bistro Cacao,$$$,4.0,456
"[{u'alias': u'french', u'title': u'French'}, {u'alias': u'chinese', u'title': u'Chinese'}]",Washington,kyirisan-washington,Kyirisan,$$$,4.0,86
"[{u'alias': u'newamerican', u'title': u'American (New)'}, {u'alias': u'french', u'title': u'French'}, {u'alias': u'bars', u'title': u'Bars'}]",Washington,mintwood-place-washington,Mintwood Place,$$$,4.0,491
"[{u'alias': u'french', u'title': u'French'}]",Washington,montmartre-washington,Montmartre,$$,4.0,521
"[{u'alias': u'cajun', u'title': u'Cajun/Creole'}]",Washington,acadiana-washington,Acadiana,$$$,4.0,1068
"[{u'alias': u'tradamerican', u'title': u'American (Traditional)'}, {u'alias': u'breakfast_brunch', u'title': u'Breakfast & Brunch'}]",Washington,tabard-inn-restaurant-washington-2,Tabard Inn Restaurant,$$,4.0,1353
"[{u'alias': u'newamerican', u'title': u'American (New)'}, {u'alias': u'sushi', u'title': u'Sushi Bars'}, {u'alias': u'breakfast_brunch', u'title': u'Breakfast & Brunch'}]",Washington,farmers-fishers-bakers-washington,Farmers Fishers Bakers,$$,4.0,1756
"[{u'alias': u'newamerican', u'title': u'American (New)'}, {u'alias': u'french', u'title': u'French'}, {u'alias': u'bars', u'title': u'Bars'}]",Washington,central-michel-richard-washington,Central Michel Richard,$$$,4.0,1043
"[{u'alias': u'french', u'title': u'French'}]",Washington,bistrot-du-coin-washington,Bistrot Du Coin,$$,4.0,1416
"[{u'alias': u'french', u'title': u'French'}, {u'alias': u'wine_bars', u'title': u'Wine Bars'}]",Bethesda,mon-ami-gabi-bethesda,Mon Ami Gabi,$$,4.0,738
"[{u'alias': u'pizza', u'title': u'Pizza'}, {u'alias': u'french', u'title': u'French'}]",Washington,matchbox-chinatown-washington,Matchbox - Chinatown,$$,4.0,2566
categories,city,id,name,price,rating,review_count
"[{u'alias': u'tradamerican', u'title': u'American (Traditional)'}]",Washington,plume-washington,Plume,$$$$,4.0,150
categories,city,id,name,price,rating,review_count
"[{u'alias': u'newamerican', u'title': u'American (New)'}, {u'alias': u'salad', u'title': u'Salad'}, {u'alias': u'pastashops', u'title': u'Pasta Shops'}]",Washington,roses-luxury-washington,Rose's Luxury,$$$,4.5,1228
"[{u'alias': u'mexican', u'title': u'Mexican'}, {u'alias': u'tapas', u'title': u'Tapas Bars'}]",Washington,oyamel-cocina-mexicana-washington-2,Oyamel Cocina Mexicana,$$$,3.5,1922
"[{u'alias': u'italian', u'title': u'Italian'}]",Washington,masseria-washington-2,Masseria,$$$$,4.0,112
"[{u'alias': u'vietnamese', u'title': u'Vietnamese'}, {u'alias': u'thai', u'title': u'Thai'}, {u'alias': u'asianfusion', u'title': u'Asian Fusion'}]",Washington,doi-moi-washington,Doi Moi,$$,3.5,389
"[{u'alias': u'french', u'title': u'French'}, {u'alias': u'italian', u'title': u'Italian'}, {u'alias': u'mediterranean', u'title': u'Mediterranean'}]",Washington,fig-and-olive-washington-2,Fig & Olive,$$$,3.5,340
categories,city,id,name,price,rating,review_count
"[{u'alias': u'greek', u'title': u'Greek'}, {u'alias': u'mediterranean', u'title': u'Mediterranean'}]",Washington,komi-washington,Komi,$$$$,4.5,644
"[{u'alias': u'newamerican', u'title': u'American (New)'}, {u'alias': u'cocktailbars', u'title': u'Cocktail Bars'}]",Washington,barmini-by-josé-andrés-washington-4,Barmini By José Andrés,$$$,4.5,203
"[{u'alias': u'indpak', u'title': u'Indian'}]",Washington,rasika-washington,Rasika,$$$,4.5,2228
"[{u'alias': u'newamerican', u'title': u'American (New)'}, {u'alias': u'cocktailbars', u'title': u'Cocktail Bars'}]",Washington,minibar-by-josé-andrés-washington-7,minibar by José Andrés,$$$$,4.5,253
